AvailabilityDate,NormalizedBuild,OSBuild,ReleaseType,Channel,OSPlatform,KB
2025-01-14,22621.4751,22621,Baseline,General Availability Channel,Windows11,KB5050021
2025-01-14,22631.4751,22631,Baseline,General Availability Channel,Windows11,KB5050021
2025-01-14,26100.2894,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5050009
2025-02-11,22621.4890,22621,Baseline,General Availability Channel,Windows11,KB5051989
2025-02-11,22631.4890,22631,Baseline,General Availability Channel,Windows11,KB5051989
2025-02-11,26100.3194,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5051987
2025-03-11,22621.5039,22621,Baseline,General Availability Channel,Windows11,KB5053602
2025-03-11,22631.5039,22631,Baseline,General Availability Channel,Windows11,KB5053602
2025-03-11,26100.3476,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5053598
2025-04-08,22621.5189,22621,Baseline,General Availability Channel,Windows11,KB5055528
2025-04-08,22631.5189,22631,Baseline,General Availability Channel,Windows11,KB5055528
2025-04-08,26100.3775,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5055523
2025-05-13,19045.5854,19045,Baseline,Windows 10 22H2,Windows10,KB5058379
2025-05-13,22621.5335,22621,Baseline,General Availability Channel,Windows11,KB5058405
2025-05-13,22631.5335,22631,Baseline,General Availability Channel,Windows11,KB5058405
2025-05-13,26100.4061,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5058411
2025-06-10,19045.5965,19045,Baseline,Windows 10 22H2,Windows10,KB5060533
2025-06-10,22621.5472,22621,Baseline,General Availability Channel,Windows11,KB5060999
2025-06-10,22631.5472,22631,Baseline,General Availability Channel,Windows11,KB5060999
2025-06-10,26100.4349,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5060842
2025-07-08,19045.6093,19045,Baseline,Windows 10 22H2,Windows10,KB5062554
2025-07-08,22621.5624,22621,Baseline,General Availability Channel,Windows11,KB5062552
2025-07-08,22631.5624,22631,Baseline,General Availability Channel,Windows11,KB5062552
2025-07-08,26100.4652,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5062553
2025-08-12,19045.6216,19045,Baseline,Windows 10 22H2,Windows10,KB5063709
2025-08-12,22621.5768,22621,Baseline,General Availability Channel,Windows11,KB5063875
2025-08-12,22631.5768,22631,Baseline,General Availability Channel,Windows11,KB5063875
2025-08-12,26100.4946,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5063878
2025-09-09,19045.6332,19045,Baseline,Windows 10 22H2,Windows10,KB5065429
2025-09-09,22621.5909,22621,Baseline,General Availability Channel,Windows11,KB5065431
2025-09-09,22631.5909,22631,Baseline,General Availability Channel,Windows11,KB5065431
2025-09-09,26100.6584,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5065426
2025-10-14,19045.6456,19045,Baseline,Windows 10 22H2,Windows10,KB5066791
2025-10-14,22621.6060,22621,Baseline,General Availability Channel,Windows11,KB5066793
2025-10-14,22631.6060,22631,Baseline,General Availability Channel,Windows11,KB5066793
2025-10-14,26100.6899,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5066835
2025-10-14,26200.6899,26200,Baseline,General Availability Channel,Windows11,KB5066835
2025-11-11,19045.6575,19045,Baseline,Windows 10 22H2,Windows10,KB5068781
2025-11-11,22631.6199,22631,Baseline,General Availability Channel,Windows11,KB5068865
2025-11-11,26100.7171,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5068861
2025-11-11,26200.7171,26200,Baseline,General Availability Channel,Windows11,KB5068861
2025-12-09,19045.6691,19045,Baseline,Windows 10 22H2,Windows10,KB5071546
2025-12-09,22631.6345,22631,Baseline,General Availability Channel,Windows11,KB5071417
2025-12-09,26100.7462,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5072033
2025-12-09,26200.7462,26200,Baseline,General Availability Channel,Windows11,KB5072033
2026-01-13,19045.6809,19045,Baseline,Windows 10 22H2,Windows10,KB5073724
2026-01-13,22631.6491,22631,Baseline,General Availability Channel,Windows11,KB5073455
2026-01-13,26100.7623,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5074109
2026-01-13,26200.7623,26200,Baseline,General Availability Channel,Windows11,KB5074109
2026-02-10,19045.6937,19045,Baseline,Windows 10 22H2,Windows10,KB5075912
2026-02-10,22631.6649,22631,Baseline,General Availability Channel,Windows11,KB5075941
2026-02-10,26100.7840,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5077181
2026-02-10,26200.7840,26200,Baseline,General Availability Channel,Windows11,KB5077181
2026-02-10,28000.1575,28000,Baseline,General Availability Channel,Windows11,KB5077179
2026-03-10,19045.7058,19045,Baseline,Windows 10 22H2,Windows10,KB5078885
2026-03-10,22631.6783,22631,Baseline,General Availability Channel,Windows11,KB5078883
2026-03-10,26100.8037,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5079473
2026-03-10,26200.8037,26200,Baseline,General Availability Channel,Windows11,KB5079473
2026-03-10,28000.1719,28000,Baseline,General Availability Channel,Windows11,KB5079466
2026-04-14,19045.7184,19045,Baseline,Windows 10 22H2,Windows10,KB5082200
2026-04-14,22631.6936,22631,Baseline,General Availability Channel,Windows11,KB5082052
2026-04-14,26100.8246,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5083769
2026-04-14,26200.8246,26200,Baseline,General Availability Channel,Windows11,KB5083769
2026-04-14,28000.1836,28000,Baseline,General Availability Channel,Windows11,KB5083768
2026-05-12,14393.9140,14393,Baseline,General Availability Channel,Windows10,KB5087537
2026-05-12,19045.7291,19045,Baseline,Windows 10 22H2,Windows10,KB5087544
2026-05-12,22631.7079,22631,Baseline,General Availability Channel,Windows11,KB5087420
2026-05-12,26100.8457,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5089549
2026-05-12,26200.8457,26200,Baseline,General Availability Channel,Windows11,KB5089549
2026-05-12,28000.2113,28000,Baseline,General Availability Channel,Windows11,KB5089548
2026-05-26,26200.8524,26200,Baseline,General Availability Channel,Windows11,KB5089573
2026-05-26,28000.2179,28000,Baseline,General Availability Channel,Windows11,KB5089570
2026-05-26,26100.8524,26100,Baseline,LTSC • General Availability Channel,Windows11,KB5089573
2026-06-09,19045.7417,19045,Baseline,Windows 10 22H2,Windows10,KB5094127
2026-06-09,26200.8655,26200,Baseline,General Availability Channel,Windows11,KB5094126
2026-06-09,28000.2269,28000,Baseline,General Availability Channel,Windows11,KB5095051
2026-06-09,26100.8655,26100,Baseline,General Availability Channel,Windows11,KB5094126
2026-06-09,22631.7219,22631,Baseline,General Availability Channel,Windows11,KB5093998
2026-06-09,19044.7417,19044,Baseline,General Availability Channel,Windows10,KB5094127
2026-06-09,17763.8880,17763,Baseline,General Availability Channel,Windows10,KB5094123
2026-06-09,14393.9234,14393,Baseline,General Availability Channel,Windows10,KB5094122
2026-07-14,28000.2525,28000,Baseline,General Availability Channel,Windows11,KB5101649
2026-07-14,26200.8875,28000,Baseline,General Availability Channel,Windows11,KB5101650
2026-07-14,26100.8875,26100,Baseline,General Availability Channel,Windows11,KB5101650
2026-07-14,22631.7376,22631,Baseline,General Availability Channel,Windows11,KB5099414
2026-07-14,19045.7548,19045,Baseline,General Availability Channel,Windows10,KB5099539
2026-07-14,19044.7548,19044,Baseline,General Availability Channel,Windows10,KB5099539
2026-07-14,14393.9339,14393,Baseline,General Availability Channel,Windows10,KB5099535
